Year,Era,Track Name,Artist Name,Release Date,Genres,Track Duration (seconds),Popularity (Rating),Instrumentalness,Acousticness,Danceability,Valence,Energy
2004,2000s,One Beer,MF DOOM,2004-11-16,"east coast hip hop, hip hop, instrumental hip hop, rap",258.586,74,0.00332,0.0996,0.376,0.615,0.718
2004,2000s,Helena,My Chemical Romance,2004-06-08,"emo, modern rock, pop punk, pov: indie, rock",204.733,76,0.0,0.0142,0.356,0.0857,0.96
2004,2000s,Scars,Papa Roach,2004-01-01,"alternative metal, nu metal, rap metal, rap rock, rock",208.186,69,0.0,0.0948,0.384,0.471,0.921
2004,2000s,Rosas,La Oreja de Van Gogh,2004-05-10,"latin arena pop, latin pop, mexican pop, spanish pop, spanish pop rock",237.026,70,8.3e-06,0.622,0.783,0.528,0.693
2004,2000s,Confessions Part II,USHER,2004-03-23,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",211.2,72,0.0,0.0586,0.845,0.702,0.467
2004,2000s,Freek-A-Leek,Petey Pablo,2004,"crunk, dirty south rap, north carolina hip hop, southern hip hop",235.186,67,0.0,0.0744,0.756,0.632,0.691
2004,2000s,All Caps,Madvillain,2004-03-24,"abstract hip hop, alternative hip hop, hip hop, psychedelic hip hop",130.479,73,1.46e-05,0.266,0.358,0.666,0.889
2004,2000s,Wake Me up When September Ends,Green Day,2004-09-21,"modern rock, permanent wave, punk, rock",285.653,77,0.0,0.023,0.546,0.146,0.814
2004,2000s,Call Me,Blondie,2004-01-01,"candy pop, new wave pop, permanent wave, power pop, rock, synthpop",212.226,70,0.00246,0.000646,0.553,0.773,0.833
2004,2000s,Tu Príncipe,Daddy Yankee,2004-07-13,"latin hip hop, reggaeton, trap latino, urbano latino",205.52,79,1e-05,0.16,0.77,0.568,0.804
2004,2000s,Drop It Like It's Hot,Snoop Dogg,2004-01-01,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",266.066,75,0.0,0.19,0.888,0.662,0.632
2004,2000s,All These Things That I've Done,The Killers,2004,"alternative rock, dance rock, modern rock, permanent wave, rock",301.866,72,2.37e-05,0.00245,0.539,0.206,0.702
2004,2000s,Numb / Encore,JAY-Z,2004-11-30,"east coast hip hop, gangster rap, hip hop, pop rap, rap",205.733,77,0.0,0.0603,0.687,0.751,0.793
2004,2000s,Bless The Broken Road,Rascal Flatts,2004-01-01,"contemporary country, country, country road, modern country rock",226.68,70,2.23e-05,0.671,0.591,0.344,0.45
2004,2000s,Save a Horse (Ride a Cowboy),Big & Rich,2004-04-20,"contemporary country, country, country road",200.306,69,0.0,0.108,0.7,0.817,0.896
2004,2000s,Overnight Celebrity (feat. Miri Ben-Ari),Twista,2004-01-27,"chicago rap, dirty south rap, gangster rap, trap",233.36,68,0.0,0.182,0.828,0.777,0.792
2004,2000s,Slow Jamz,Twista,2004-02-10,"chicago rap, dirty south rap, gangster rap, trap",316.053,70,0.0,0.314,0.559,0.611,0.733
2004,2000s,Burn,USHER,2004-03-23,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",231.933,73,0.0,0.314,0.796,0.685,0.477
2004,2000s,Hoe Cakes,MF DOOM,2004-11-16,"east coast hip hop, hip hop, instrumental hip hop, rap",234.146,71,0.0,0.0987,0.511,0.95,0.613
2004,2000s,Broken,Seether,2004-01-01,"alternative metal, nu metal, post-grunge, south african rock",258.333,70,0.000491,0.0102,0.448,0.214,0.61
2004,2000s,Yo Voy (feat. Daddy Yankee),Zion & Lennox,2004-05-04,"reggaeton, urbano latino",232.019,77,0.0,0.041,0.808,0.554,0.697
2004,2000s,Live Like You Were Dying,Tim McGraw,2004-08-17,"contemporary country, country, country road, modern country rock",300.333,67,0.0,0.492,0.416,0.418,0.546
2004,2000s,Let Me Love You,Mario,2004-09-21,"dance pop, r&b, southern hip hop, urban contemporary",256.733,73,0.0,0.235,0.656,0.556,0.578
2004,2000s,My Band,D12,2004-01-01,"detroit hip hop, gangster rap, hip hop",298.773,71,2.05e-06,0.497,0.851,0.844,0.849
2004,2000s,Sunrise,Norah Jones,2004-01-01,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz",200.626,75,0.097,0.941,0.526,0.679,0.299
2005,2000s,Feel Good Inc.,Gorillaz,2005-05-23,"alternative hip hop, modern rock, rock",222.64,84,0.00233,0.00836,0.818,0.772,0.705
2005,2000s,Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,"colombian pop, dance pop, latin pop, pop",218.093,87,0.0,0.284,0.778,0.758,0.824
2005,2000s,Gold Digger,Kanye West,2005-08-30,"chicago rap, hip hop, rap",207.626,80,0.0,0.0195,0.629,0.623,0.696
2005,2000s,"Sugar, We're Goin Down",Fall Out Boy,2005-05-03,"emo, modern rock, pop, pop punk, rock",229.093,78,0.0,0.00579,0.494,0.574,0.842
2005,2000s,Before He Cheats,Carrie Underwood,2005-11-14,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",199.946,78,0.0,0.271,0.519,0.29,0.749
2005,2000s,Love,Keyshia Cole,2005-01-01,"hip pop, r&b, urban contemporary",255.333,80,0.0,0.0642,0.688,0.314,0.518
2005,2000s,Lose Yourself,Eminem,2005-12-06,"detroit hip hop, hip hop, rap",326.466,77,0.000423,0.00868,0.692,0.0612,0.744
2005,2000s,I Write Sins Not Tragedies,Panic! At The Disco,2005-09-27,pop,186.634,72,0.0,0.0807,0.569,0.609,0.83
2005,2000s,How to Save a Life,The Fray,2005-09-13,"neo mellow, piano rock, pop, pop rock",262.533,80,0.0,0.269,0.64,0.361,0.743
2005,2000s,"Dance, Dance",Fall Out Boy,2005-05-03,"emo, modern rock, pop, pop punk, rock",180.266,76,0.0,0.00523,0.621,0.449,0.961
2005,2000s,The Kill,Thirty Seconds To Mars,2005-01-01,"modern rock, post-grunge",231.533,77,0.000294,0.0014,0.179,0.289,0.912
2005,2000s,Temperature,Sean Paul,2005-09-27,"dance pop, dancehall, pop, pop rap",218.573,80,0.0,0.106,0.951,0.822,0.6
2005,2000s,Lonely Day,System Of A Down,2005-11-22,"alternative metal, nu metal, rap metal, rock",167.906,78,1.1e-06,0.362,0.47,0.215,0.796
2005,2000s,Good Directions,Billy Currington,2005-01-01,"contemporary country, country, country road",215.853,72,0.0,0.307,0.716,0.48,0.72
2005,2000s,Better Together,Jack Johnson,2005-01-01,neo mellow,207.68,72,2e-05,0.308,0.868,0.659,0.347
2005,2000s,Dirty Little Secret,The All-American Rejects,2005-01-01,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",193.653,71,5.38e-06,0.000346,0.465,0.458,0.954
2005,2000s,Coming Undone,Korn,2005-12-06,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",199.773,75,0.000137,0.000643,0.687,0.545,0.677
2005,2000s,Hey There Delilah,Plain White T's,2005-01-01,"modern rock, neo mellow, neon pop punk, pop punk, pop rock",232.533,77,0.0,0.872,0.658,0.295,0.291
2005,2000s,Pon de Replay,Rihanna,2005-08-29,"barbadian pop, pop, urban contemporary",246.96,79,0.000766,0.000155,0.779,0.499,0.64
2005,2000s,Hate It Or Love It,The Game,2005,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",206.4,80,0.0,0.14,0.802,0.435,0.785
2005,2000s,I'm Sprung,T-Pain,2005-12-06,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",231.04,73,0.0,0.0948,0.728,0.195,0.327
2005,2000s,Animals - 2020 Remaster,Nickelback,2005,"alternative metal, canadian rock, post-grunge",186.586,74,0.0287,0.000613,0.593,0.802,0.957
2005,2000s,We Belong Together,Mariah Carey,2005-04-12,"dance pop, pop, urban contemporary",201.4,70,0.0,0.0339,0.833,0.767,0.467
2005,2000s,As Good As I Once Was,Toby Keith,2005-01-01,"classic oklahoma country, contemporary country, country, country road",227.84,71,0.0,0.266,0.68,0.645,0.87
2005,2000s,Fix You,Coldplay,2005-06-07,"permanent wave, pop",295.533,84,0.00196,0.164,0.209,0.124,0.417
2005,2000s,Please Please Please Let Me Get What I Want - 2005 Remaster,Deftones,2005,"alternative metal, nu metal, rap metal, rock, sacramento indie",124.173,69,0.409,4.02e-06,0.111,0.149,0.843
2005,2000s,Candy Shop,50 Cent,2005-03-03,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",209.106,79,3.13e-05,0.0253,0.613,0.755,0.574
2005,2000s,Banana Pancakes,Jack Johnson,2005-01-01,neo mellow,191.906,70,8.66e-06,0.607,0.816,0.615,0.375
2005,2000s,Hidden In the Sand,Tally Hall,2005-10-24,"ann arbor indie, pov: indie",112.96,75,0.774,0.514,0.547,0.177,0.287
2005,2000s,Lips Of An Angel,Hinder,2005-01-01,"alternative metal, nu metal, post-grunge",261.853,73,1.08e-06,0.0217,0.476,0.251,0.736
2005,2000s,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,2005-02-22,"dance pop, pop rap",243.773,76,0.0,0.237,0.72,0.619,0.744
2005,2000s,Move Along,The All-American Rejects,2005-01-01,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",238.88,69,0.0,0.000148,0.518,0.646,0.916
